French,English
"Risques actifs","Risques actifs"
"Risques max","Risques max"
"Role Guide","Role Guide"
"Roles in the team","Roles in the team"
"Root cause analysis (5 Why method)...","Root cause analysis (5 Why method)..."
"Root cause behind the risk","Root cause behind the risk"
"Root cause identified","Root cause identified"
"Root cause identified...","Root cause identified..."
"Root cause of risk...","Root cause of risk..."
"Root causes","Root causes"
"Root causes identified","Root causes identified"
"Rouge","Rouge"
"Routine Monitoring","Routine Monitoring"
"Run an AI analysis","Run an AI analysis"
"Saisi par","Saisi par"
"Sales Management","Sales Management"
"Sales contact","Sales contact"
"Same as password","Same as password"
"Same process as audit","Same process as audit"
"Sans client","Sans client"
"Sans expiration","Sans expiration"
"Satisfaction","Satisfaction"
"Sauvegarder","Sauvegarder"
"Sauvegarder et continuer plus tard","Sauvegarder et continuer plus tard"
"Sauvegarder la configuration","Sauvegarder la configuration"
"Sauvegardes automatiques","Sauvegardes automatiques"
"Save Assessment","Save Assessment"
"Save all changes","Save all changes"
"Save and continue later","Save and continue later"
"Save changes","Save changes"
"Save colors","Save colors"
"Save configuration","Save configuration"
"Save guide","Save guide"
"Save permissions","Save permissions"
"Save preferences","Save preferences"
"Saved questionnaire","Saved questionnaire"
"Scan this code with your smartphone","Scan this code with your smartphone"
"Scannez ce code avec votre smartphone","Scannez ce code avec votre smartphone"
"Scenario analysis","Scenario analysis"
"Schedule an audit","Schedule an audit"
"Scheduled Audits","Scheduled Audits"
"Scheduled audits","Scheduled audits"
"Scheduling of audits","Scheduling of audits"
"Scope of analysis","Scope of analysis"
"Score","Score"
"Score Final","Score Final"
"Score Global de Performance","Score Global de Performance"
"Score Moyen","Score Moyen"
"Score croissant","Score croissant"
"Score moyen","Score moyen"
"Score not calculated","Score not calculated"
"Score validated","Score validated"
"Se connecter","Se connecter"
"Se connecter avec un autre compte","Se connecter avec un autre compte"
"Search filters","Search filters"
"Search for a flowchart...","Search for a flowchart..."
"Search for a user","Search for a user"
"Search for an action...","Search for an action..."
"Search for an archived KRI...","Search for an archived KRI..."
"Search for an audit...","Search for an audit..."
"Search for an indicator...","Search for an indicator..."
"Search for regulations...","Search for regulations..."
"Secteurs","Secteurs"
"Sector benchmarking","Sector benchmarking"
"Secure storage","Secure storage"
"See API keys","See API keys"
"See all KRIs","See all KRIs"
"See all actions","See all actions"
"See all archives","See all archives"
"See all audits","See all audits"
"See all details","See all details"
"See all maps","See all maps"
"See all notifications","See all notifications"
"See all risks","See all risks"
"See answers","See answers"
"See customer identifiers","See customer identifiers"
"See details","See details"
"See identifiers","See identifiers"
"See like this customer","See like this customer"
"See our platform in action","See our platform in action"
"See risk details","See risk details"
"See the analyzes","See the analyzes"
"See the answers","See the answers"
"See the cartography","See the cartography"
"See the customer","See the customer"
"See the day before","See the day before"
"See the demo","See the demo"
"See the evidence","See the evidence"
"See the finding","See the finding"
"See the list","See the list"
"See the map","See the map"
"See the recommendation","See the recommendation"
"See the results","See the results"
"See the risk","See the risk"
"See the risks","See the risks"
"See the summary","See the summary"
"Segoe UI","Segoe UI"
"Select Risks","Select Risks"
"Select a JSON configuration file","Select a JSON configuration file"
"Select a JSON file in questionnaire format","Select a JSON file in questionnaire format"
"Select a category","Select a category"
"Select a checklist","Select a checklist"
"Select a checklist type to see a preview","Select a checklist type to see a preview"
"Select a direction","Select a direction"
"Select a file","Select a file"
"Select a finding","Select a finding"
"Select a manager","Select a manager"
"Select a modeled process","Select a modeled process"
"Select a plan to see the comparison","Select a plan to see the comparison"
"Select a process","Select a process"
"Select a service","Select a service"
"Select a status","Select a status"
"Select a template to apply a predefined set of permissions","Select a template to apply a predefined set of permissions"
"Select a type","Select a type"
"Select all","Select all"
"Select all allowed permissions","Select all allowed permissions"
"Select an option","Select an option"
"Select audit type","Select audit type"
"Select competent auditors","Select competent auditors"
"Select files","Select files"
"Select from flowchart","Select from flowchart"
"Select the appropriate role","Select the appropriate role"
"Select the mapping for your new risk","Select the mapping for your new risk"
"Select the person responsible for this department","Select the person responsible for this department"
"Select the person responsible for this service","Select the person responsible for this service"
"Select the type of analysis to perform","Select the type of analysis to perform"
"Select your company to access your management space","Select your company to access your management space"
"Selected risk","Selected risk"
"Selection Mode","Selection Mode"
"Send my request","Send my request"
"Server IP","Server IP"
"Server error","Server error"
"Server provisioning","Server provisioning"
"Server type","Server type"
"Serveur","Serveur"
"Service","Service"
"Service Information","Service Information"
"Service Name","Service Name"
"Session","Session"
"Set a realistic estimated duration","Set a realistic estimated duration"
"Set main settings","Set main settings"
"Sets basic permissions","Sets basic permissions"
"Setting up AI analysis","Setting up AI analysis"
"Setting up Assessments","Setting up Assessments"
"Setting up Custom Fields","Setting up Custom Fields"
"Setting up Risk Sheets","Setting up Risk Sheets"
"Seuil critique","Seuil critique"
"Seuils","Seuils"
"Severity of consequences","Severity of consequences"
"Share on social networks","Share on social networks"
"Share this link to collect responses","Share this link to collect responses"
"Shared base","Shared base"
"Shared server","Shared server"
"Shares Total","Shares Total"
"Short title and description of the risk","Short title and description of the risk"
"Show details","Show details"
"Simple","Simple"
"Simplified collaboration","Simplified collaboration"
"Simulation","Simulation"
"Single selection","Single selection"
"Site principal","Site principal"
"Smart Alerts","Smart Alerts"
"Smart Audit","Smart Audit"
"Smart Dashboard","Smart Dashboard"
"Smart checklists","Smart checklists"
"Smart recommendations","Smart recommendations"
"Smart risk detection tool","Smart risk detection tool"
"Social Compliance","Social Compliance"
"Solution","Solution"
"Solutions","Solutions"
"Some fields are disabled for security reasons","Some fields are disabled for security reasons"
"Some options are disabled for security reasons","Some options are disabled for security reasons"
"Some permissions are restricted for security reasons","Some permissions are restricted for security reasons"
"Sophie Leroy","Sophie Leroy"
"Soumettre le questionnaire","Soumettre le questionnaire"
"Source Sans Pro","Source Sans Pro"
"Space used","Space used"
"Specific audit type","Specific audit type"
"Specific objectives to achieve...","Specific objectives to achieve..."
"Specific objectives, scope...","Specific objectives, scope..."
"Specific recommendations","Specific recommendations"
"Specific settings","Specific settings"
"Staff assessment","Staff assessment"
"Standard","Standard"
"Standard ISO Reports","Standard ISO Reports"
"Standard User","Standard User"
"Standards, benchmarks, regulations...","Standards, benchmarks, regulations..."
"Start AI analysis","Start AI analysis"
"Start a new campaign","Start a new campaign"
"Start by adding a measurement above","Start by adding a measurement above"
"Start by creating a user","Start by creating a user"
"Start by creating your first process flowchart","Start by creating your first process flowchart"
"Start by creating your first user","Start by creating your first user"
"Start date","Start date"
"Start monitoring your indicators","Start monitoring your indicators"
"Start now","Start now"
"Start the assessment","Start the assessment"
"Start your flowchart","Start your flowchart"
"Starter","Starter"
"Statistics","Statistics"
"Statistics will appear after the first response","Statistics will appear after the first response"
"Statistiques","Statistiques"
"Statistiques Globales","Statistiques Globales"
"Statistiques du plan","Statistiques du plan"
"Statistiques par question","Statistiques par question"
"Status Rating","Status Rating"
"Status of Recommendations","Status of Recommendations"
"Statut","Statut"
"Statut des Recommandations","Statut des Recommandations"
"Stockage","Stockage"
"Strict","Strict"
"Structure JSON","Structure JSON"
"Structure du questionnaire","Structure du questionnaire"
"Structure of the questionnaire","Structure of the questionnaire"
"Subdomain","Subdomain"
"Subject of your request","Subject of your request"
"Submission date","Submission date"
"Submit the questionnaire","Submit the questionnaire"
"Subscription history","Subscription history"
"Subscription plans","Subscription plans"
"Suggested Solutions","Suggested Solutions"
"Suggestions IA pour optimiser votre KRI","Suggestions IA pour optimiser votre KRI"
"Suggestions IA pour votre KRI","Suggestions IA pour votre KRI"
"Suggestions generated","Suggestions generated"
"Suivant","Suivant"
"Suivi KRI","Suivi KRI"
"Summary and Conclusions","Summary and Conclusions"
"Summary and conclusion which will appear in the final report...","Summary and conclusion which will appear in the final report..."
"Summary and final recommendations...","Summary and final recommendations..."
"Summary by Direction","Summary by Direction"
"Summary of permissions","Summary of permissions"
"Summary of the Comparison","Summary of the Comparison"
"Summary of the Evaluation","Summary of the Evaluation"
"Summary of the Finding","Summary of the Finding"
"Summary of the Recommendation","Summary of the Recommendation"
"Super Admin","Super Admin"
"Super Admin Dashboard","Super Admin Dashboard"
"Super Admin Management","Super Admin Management"
"Super Admin View","Super Admin View"
"Super Admins","Super Admins"
"Super Admins existants","Super Admins existants"
"Super admin management","Super admin management"
"Superior plans available","Superior plans available"
"Support","Support"
"Support prioritaire","Support prioritaire"
"Support technique","Support technique"
"Supporting comment","Supporting comment"
"Supporting documents","Supporting documents"
"Suppr pour supprimer","Suppr pour supprimer"
"Supprime tout et importe le nouveau","Supprime tout et importe le nouveau"
"Supprimer","Supprimer"
"Supprimer des utilisateurs","Supprimer des utilisateurs"
"Supprimer le lien","Supprimer le lien"
"Supprimer le questionnaire","Supprimer le questionnaire"
"Supprimer les lues","Supprimer les lues"
"Supprimer tout","Supprimer tout"
"Sur mesure","Sur mesure"
"Surveillance","Surveillance"
"Surveillance Courante","Surveillance Courante"
"Surveillance active","Surveillance active"
"Surveillance continue","Surveillance continue"
"Suspendre","Suspendre"
"Suspendu","Suspendu"
"Swagger Documentation","Swagger Documentation"
"Swipe to reorder","Swipe to reorder"
"Switch to English","Switch to English"
"Synchroniser","Synchroniser"
"Synchronize","Synchronize"
"Synchronizing permissions","Synchronizing permissions"
"System actions","System actions"
"System administration","System administration"
"System under control","System under control"
"Systematic overestimation","Systematic overestimation"
"Tableau de Bord","Tableau de Bord"
"Tableau de Bordeaux","Tableau de Bordeaux"
"Tableau de bord","Tableau de bord"
"Tableaux de bord personnalisables","Tableaux de bord personnalisables"
"Taille","Taille"
"Talk to our experts","Talk to our experts"
"Tarifs","Tarifs"
"Taux de couverture KRI","Taux de couverture KRI"
"Tax compliance","Tax compliance"
"Technical Direction","Technical Direction"
"Technical blog","Technical blog"
"Technical information","Technical information"
"Technical name","Technical name"
"Technical support","Technical support"
"Technological","Technological"
"Technologique","Technologique"
"Template non disponible pour cette formule","Template non disponible pour cette formule"
"Templates","Templates"
"Tendance","Tendance"
"Terminate the customer","Terminate the customer"
"Terms of Use","Terms of Use"
"Test","Test"
"Test all features","Test all features"
"Test fields after creation","Test fields after creation"
"Test new features","Test new features"
"Test with a small file first","Test with a small file first"
"Texte court","Texte court"
"Texte d","Texte d"
"Texte d'aide pour l'utilisateur...","Texte d'aide pour l'utilisateur..."
"Texte de l","Texte de l"
"Texte de l'option","Texte de l'option"
"Texte long","Texte long"
"The activity log will appear here","The activity log will appear here"
"The checklist will be applied to the new audit","The checklist will be applied to the new audit"
"The customer must change their password upon first connection","The customer must change their password upon first connection"
"The customer will be able to create their own users","The customer will be able to create their own users"
"The fields are organized by section to structure the risk sheet","The fields are organized by section to structure the risk sheet"
"The flowcharts you archive will appear in this section","The flowcharts you archive will appear in this section"
"The identifiers will be sent by email","The identifiers will be sent by email"
"The indicators will be recalculated automatically","The indicators will be recalculated automatically"
"The matrices will be regenerated","The matrices will be regenerated"
"The name cannot be changed after creation","The name cannot be changed after creation"
"The overall progress rate of the actions is","The overall progress rate of the actions is"
"The page requires specific permissions","The page requires specific permissions"
"The password will be securely encrypted","The password will be securely encrypted"
"The planned end date has passed","The planned end date has passed"
"The questionnaire must be","The questionnaire must be"
"The risk is highlighted with a red marker and highlight effect","The risk is highlighted with a red marker and highlight effect"
"The risks have not yet been assessed in this campaign","The risks have not yet been assessed in this campaign"
"The score will appear after selection","The score will appear after selection"
"The technical name cannot be changed","The technical name cannot be changed"
"The user will no longer be able to log in","The user will no longer be able to log in"
"Their associated ratings","Their associated ratings"
"This action cannot be undone","This action cannot be undone"
"This action will permanently remove","This action will permanently remove"
"This conclusion will appear in the final report","This conclusion will appear in the final report"
"This document is confidential and intended for internal use only","This document is confidential and intended for internal use only"
"This feature is not included in your plan","This feature is not included in your plan"
"This information is strictly confidential","This information is strictly confidential"
"This plan is late","This plan is late"
"This recommendation will be linked to the finding","This recommendation will be linked to the finding"
"This resource is reserved for the administrator","This resource is reserved for the administrator"
"This risk has not yet been assessed","This risk has not yet been assessed"
"This week","This week"
"Three Phase Risk Assessment","Three Phase Risk Assessment"
"Tips for Quality Assessment","Tips for Quality Assessment"
"Titre","Titre"
"To research...","To research..."
"To share a professional report","To share a professional report"
"To update","To update"
"Total Audits","Total Audits"
"Total Plans","Total Plans"
"Total Recommendations","Total Recommendations"
"Total Risks","Total Risks"
"Total Risques","Total Risques"
"Total Users","Total Users"
"Total archived","Total archived"
"Total connections","Total connections"
"Total customers","Total customers"
"Total evidence","Total evidence"
"Total indicators","Total indicators"
"Total items","Total items"
"Total notifications","Total notifications"
"Total responses","Total responses"
"Total shares","Total shares"
"Total users","Total users"
"Tous","Tous"
"Tous clients","Tous clients"
"Tous les Utilisateurs","Tous les Utilisateurs"
"Tous les utilisateurs","Tous les utilisateurs"
"Tous types","Tous types"
"Tout Effacer","Tout Effacer"
"Tout activer","Tout activer"
"Tout effacer","Tout effacer"
"Tout marquer comme lu","Tout marquer comme lu"
"Tout supprimer","Tout supprimer"
"Toutes","Toutes"
"Toutes les Preuves","Toutes les Preuves"
"Train customer administrators","Train customer administrators"
"Training and development","Training and development"
"Transversal","Transversal"
"Transversal audit","Transversal audit"
"Treatment register","Treatment register"
"Trends and analyzes","Trends and analyzes"
"Tri","Tri"
"Tri actif","Tri actif"
"Triggers enhanced surveillance","Triggers enhanced surveillance"
"Trimestriel","Trimestriel"
"Triphase Assessment","Triphase Assessment"
"Triphase Assessment Guide","Triphase Assessment Guide"
"True","True"
"Trust Score","Trust Score"
"Try for free","Try for free"
"Twitter","Twitter"
"Type","Type"
"Type de Lien","Type de Lien"
"Type of Association","Type of Association"
"Type of mapping","Type of mapping"
"Types de notifications","Types de notifications"
"Types of Audit","Types of Audit"
"Types of checklists available","Types of checklists available"
"Types of lists","Types of lists"
"Types of notifications","Types of notifications"
"Unable to generate matrix","Unable to generate matrix"
"Uncategorized","Uncategorized"
"Une erreur est survenue","Une erreur est survenue"
"Une erreur est survenue lors de la suppression","Une erreur est survenue lors de la suppression"
"Unexpected token","Unexpected token"
"Unique code for public link","Unique code for public link"
"Unique username","Unique username"
"Unit of measurement","Unit of measurement"
"Universal access to data","Universal access to data"
"Unlimited storage","Unlimited storage"
"Unlimited users","Unlimited users"
"Unplanned","Unplanned"
"Unread only","Unread only"
"Unsynchronized permission","Unsynchronized permission"
"Update assessments regularly","Update assessments regularly"
"Update features","Update features"
"Update modules","Update modules"
"Update roles","Update roles"
"Updated now","Updated now"
"Updates","Updates"
"Updating Settings","Updating Settings"
"Upload Multiple","Upload Multiple"
"Upload date","Upload date"
"Upload evidence","Upload evidence"
"Upload file","Upload file"
"Upload multiple evidence","Upload multiple evidence"
"Uploader","Uploader"
"Uploader des preuves","Uploader des preuves"
"Uploader le fichier","Uploader le fichier"
"Uploader multiple","Uploader multiple"
"Urgent","Urgent"
"Urgentes","Urgentes"
"Use and limits","Use and limits"
"Use demo credentials","Use demo credentials"
"Use objective and verifiable data","Use objective and verifiable data"
"Use only letters, numbers, hyphens and underscores","Use only letters, numbers, hyphens and underscores"
"Use strong passwords","Use strong passwords"
"Use technical names without spaces","Use technical names without spaces"
"Use the EXACT database names","Use the EXACT database names"
"Use the Export button to save","Use the Export button to save"
"Used to log into the system","Used to log into the system"
"User Details","User Details"
"User Guide","User Guide"
"User List","User List"
"User Management","User Management"
"User Management Permissions","User Management Permissions"
"User deletion","User deletion"
"User information","User information"
"User management","User management"
"User name","User name"
"User will be able to log in immediately if enabled","User will be able to log in immediately if enabled"
"Username","Username"
"Username cannot be changed","Username cannot be changed"
"Username for login","Username for login"
"Username will be used for login","Username will be used for login"
"Users","Users"
"Users who have archived","Users who have archived"
"Using the formula","Using the formula"
"Using your formula","Using your formula"
"Utilisateur","Utilisateur"
"Utilisateur Standard","Utilisateur Standard"
"Utilisateur inconnu","Utilisateur inconnu"
"Utilisateurs","Utilisateurs"
"Utilisateurs Existants","Utilisateurs Existants"
"Utilisateurs du Client","Utilisateurs du Client"
"Utilisation","Utilisation"
"Utilisez le","Utilisez le"
"Utilisez le bouton Exporter pour sauvegarder","Utilisez le bouton Exporter pour sauvegarder"
"Valeur","Valeur"
"Validate risks","Validate risks"
"Validate the Assessment","Validate the Assessment"
"Validating extensions","Validating extensions"
"Validation","Validation"
"Validation Status","Validation Status"
"Validation and adjustment","Validation and adjustment"
"Validation committee","Validation committee"
"Validation errors","Validation errors"
"Validation required","Validation required"
"Validity dates","Validity dates"
"Variable response time","Variable response time"
"Veille","Veille"
"Veilles Actives","Veilles Actives"
"Vert","Vert"
"Veuillez corriger les emails invalides","Veuillez corriger les emails invalides"
"Veuillez entrer un email valide pour soumettre ce questionnaire","Veuillez entrer un email valide pour soumettre ce questionnaire"
"Veuillez mentionner cet ID si vous contactez le support","Veuillez mentionner cet ID si vous contactez le support"
"Veuillez remplir tous les champs","Veuillez remplir tous les champs"
"Veuillez remplir tous les champs obligatoires","Veuillez remplir tous les champs obligatoires"
"Veuillez saisir au moins une valeur pour la liste","Veuillez saisir au moins une valeur pour la liste"
"Veuillez saisir un nom pour la copie","Veuillez saisir un nom pour la copie"
"Video tutorials","Video tutorials"
"Vider le cache","Vider le cache"
"View Full Report","View Full Report"
"View all users","View all users"
"View and manage all customers","View and manage all customers"
"View and manage all of your audit programs","View and manage all of your audit programs"
"View audits","View audits"
"View by period","View by period"
"View dashboard","View dashboard"
"View details","View details"
"View files","View files"
"View history in your dashboard","View history in your dashboard"
"View matrices","View matrices"
"View on matrix","View on matrix"
"View on the Matrix","View on the Matrix"
"View reports","View reports"
"View the audit","View the audit"
"View the report","View the report"
"View the risk matrix","View the risk matrix"
"View their information","View their information"
"View their status and role","View their status and role"
"View user list","View user list"
"View/edit comment","View/edit comment"
"Visual risk matrix","Visual risk matrix"
"Visualisation des Risques","Visualisation des Risques"
"Visualiser","Visualiser"
"Visualization","Visualization"
"Voir","Voir"
"Voir Rapport Complet","Voir Rapport Complet"
"Voir archives","Voir archives"
"Voir dans l","Voir dans l"
"Voir dans l'audit","Voir dans l'audit"
"Voir identifiants","Voir identifiants"
"Voir identifiants client","Voir identifiants client"
"Voir l","Voir l"
"Voir l'audit","Voir l'audit"
"Voir la cartographie","Voir la cartographie"
"Voir la liste","Voir la liste"
"Voir la liste des utilisateurs","Voir la liste des utilisateurs"
"Voir le KRI","Voir le KRI"
"Voir le client","Voir le client"
"Voir le risque","Voir le risque"
"Voir les analyses","Voir les analyses"
"Voir les audits","Voir les audits"
"Voir les fichiers","Voir les fichiers"
"Voir les logos uniquement","Voir les logos uniquement"
"Voir les matrices","Voir les matrices"
"Voir les rapports","Voir les rapports"
"Voir les risques","Voir les risques"
"Voir moins","Voir moins"
"Voir mon utilisation","Voir mon utilisation"
"Voir plus","Voir plus"
"Voir sur la Matrice","Voir sur la Matrice"
"Voir tous","Voir tous"
"Voir tous les KRI","Voir tous les KRI"
"Voir tous les audits","Voir tous les audits"
"Voir tous les risques","Voir tous les risques"
"Voir toutes","Voir toutes"
"Voir toutes les actions","Voir toutes les actions"
"Voir toutes les archives","Voir toutes les archives"
"Voir toutes les notifications","Voir toutes les notifications"
"Votre formule","Votre formule"
"Votre formule actuelle","Votre formule actuelle"
"Votre nom","Votre nom"
"Votre nom d","Votre nom d"
"Votre nom d'utilisateur","Votre nom d'utilisateur"
"Vous","Vous"
"Vous modifiez le risque","Vous modifiez le risque"
"Vue Client","Vue Client"
"Vue Globale","Vue Globale"
"Vue Lecture Seule","Vue Lecture Seule"
"Vue Matrice","Vue Matrice"
"Vue Risques","Vue Risques"
"Vue client","Vue client"
"Vue globale de tous les utilisateurs sur tous les clients","Vue globale de tous les utilisateurs sur tous les clients"
"Watch the Video","Watch the Video"
"Webhooks","Webhooks"
"What our customers say","What our customers say"
"Without specific process scope","Without specific process scope"
"Word standard","Word standard"
"Workflows","Workflows"
"Write manually","Write manually"
"You are about to permanently delete","You are about to permanently delete"
"You can","You can"
"You can always change your formula later","You can always change your formula later"
"You can drag and drop fields to change their display order","You can drag and drop fields to change their display order"
"You can modify your personal information","You can modify your personal information"
"You can't delete yourself","You can't delete yourself"
"You cannot apply a permissions template to your account","You cannot apply a permissions template to your account"
"You cannot change system permissions","You cannot change system permissions"
"You cannot change your own manager permissions","You cannot change your own manager permissions"
"You cannot change your own role","You cannot change your own role"
"You cannot change your own status","You cannot change your own status"
"You cannot change your user management permissions","You cannot change your user management permissions"
"You cannot deactivate your own account","You cannot deactivate your own account"
"You cannot deactivate yourself","You cannot deactivate yourself"
"You cannot edit your own account here","You cannot edit your own account here"
"You cannot modify other handlers","You cannot modify other handlers"
"You cannot modify other tenant administrators","You cannot modify other tenant administrators"
"You cannot modify tenant administrators","You cannot modify tenant administrators"
"You change the risk","You change the risk"
"You create a new risk in mapping","You create a new risk in mapping"
"You edit your own profile","You edit your own profile"
"You only view customer data","You only view customer data"
"You will automatically be registered as responsible for this file","You will automatically be registered as responsible for this file"
"You will be able to monitor usage via the dashboard","You will be able to monitor usage via the dashboard"
"Your account is active","Your account is active"
"Your answers are stored securely","Your answers are stored securely"
"Your audits created","Your audits created"
"Your company","Your company"
"Your created formulas","Your created formulas"
"Your current plan","Your current plan"
"Your customer","Your customer"
"Your customers created","Your customers created"
"Your formula","Your formula"
"Your information","Your information"
"Your password","Your password"
"Your personal information is not shared","Your personal information is not shared"
"Your preferences are saved securely","Your preferences are saved securely"
"Your question here...","Your question here..."
"Your responses are secure and confidential","Your responses are secure and confidential"
"Your risks created","Your risks created"
"Your user role does not allow access to this resource","Your user role does not allow access to this resource"
"Zone de nettoyage global","Zone de nettoyage global"
"Zoom avant","Zoom avant"
"Zoom normal","Zoom normal"
"Zoom out","Zoom out"
"breadcrumb","breadcrumb"
"client.votredomaine.com","client.votredomaine.com"
"e.g. Financial Department, HR...","e.g. Financial Department, HR..."
"e.g. Financial Impact","e.g. Financial Impact"
"e.g. Human Resources Department","e.g. Human Resources Department"
"email@exemple.com","email@exemple.com"
"ex: Risk Department","ex: Risk Department"
"ex: ^[A-Za-z0-9\s]+$","ex: ^[A-Za-z0-9\s]+$"
"ex: financial_impact","ex: financial_impact"
"ex: jean.dupont","ex: jean.dupont"
"ex: jean.dupont@entreprise.com","ex: jean.dupont@entreprise.com"
"ex: jean.manager","ex: jean.manager"
"ex: jean@entreprise.com","ex: jean@entreprise.com"
"exemple@email.com","exemple@email.com"
"https://...","https://..."
"notification@entreprise.com","notification@entreprise.com"
"pdf, doc, docx, xls, xlsx, jpg, png","pdf, doc, docx, xls, xlsx, jpg, png"
"standard, premium, enterprise","standard, premium, enterprise"
"superadmin2","superadmin2"
"superadmin2@entreprise.com","superadmin2@entreprise.com"
"username or email","username or email"
"valeur","valeur"
"value1","value1"
"value|Label displayed","value|Label displayed"
"value|Label displayed\nor simply value","value|Label displayed\nor simply value"
"votre@email.com","votre@email.com"Compliance actions were not carried out on time.,
All actions are up to date.,
Add a risk:,
"Complete solution for risk management, mapping and regulatory compliance.",
"Centralize the management of your risks, processes and indicators in a single and intuitive platform.",
"Identify, evaluate and visualize your risks by department or department with interactive matrices.",
Monitor evolving risks with key indicators and alert thresholds.,
Follow regulatory developments and manage your compliance actions.,
First steps:,
Demo account:,
Identifier:,
Password :,
FK Corporate Intelligence |,
FK Corporate Intelligence,
Premium Solution • Business,
at the service of your governance,
A demonstration of our platform and its impact on your corporate governance,
Your browser does not support playing HTML5 videos.,
Real-time actionable insights,
FULL FEATURES,
"Identify, assess and visualize your risks with interactive matrices and dynamic dashboards.",
Risk/impact matrix,
Multi-criteria evaluations,
KRI Indicators & Monitoring,
Monitor evolving risks with key indicators and configurable alert thresholds.,
Real-time dashboards,
Follow regulatory developments and manage your compliance actions with our dedicated module.,
"Plan, execute and track your internal audits with comprehensive workflows.",
Closing follow-up,
Processes & Flowcharts,
Map your business processes and identify critical control points.,
PDF/Excel export,
AI & Predictive Analysis,
Benefit from artificial intelligence for risk analysis and recommendation generation.,
Security & Compliance,
"Encrypted data, two-factor authentication, GDPR compliance and ISO 27001 certifications.",
"Connect your existing tools: Microsoft 365, Google Workspace, Salesforce, SAP, and more.",
Work as a team with granular roles and permissions.,
PREMIUM INTERFACE,
CUSTOMER TESTIMONIALS,
"Risk Director, Finance Group",
"Compliance Manager, Banking Sector",
"Director of Operations, Industry",
your governance?,
Environment :,
14 days free,
CONTACT US,
Let's discuss your needs and find out how we can support you,
Full name *,
Professional email *,
I accept the privacy and data processing policy,
"Paris, France",
Monday - Friday: 8 a.m. - 8 p.m.,
Saturday: 9 a.m.-6 p.m.,
+33 7 52 71 77 01,
GDPR compliance,
© 2024 FK Corporate Intelligence Group.,
ISO 27001 • GDPR • SOC 2 Type II • HDS Certified • ESG Compliant,
"""La plateforme a transformé notre approche du contrôle interne. 
                            La cartographie des risques et les indicateurs KRI nous ont permis d'anticiper les problèmes avant qu'ils ne surviennent.""",
"Manage the entire audit cycle: from planning to closing, including analysis and monitoring of corrective actions.",
2. Planning,
"Define the scope, objectives and audit team.",
Collect audit evidence and identify discrepancies.,
Write the report and archive it once the actions are completed.,
FKBusiness Corporate,
Loading...,
View a customer:,
Directions & Services,
FabriceKonan Corporate Intelligence,
🇫🇷,
FRANÇAIS,
🇬🇧,
ENGLISH,
Audit reports will be generated from the audits created.,
Loading the summary...,
This feature will display a detailed summary of the audit with graphs and statistics.,
Implementation under development...,
"Control your risks, ensure your compliance",
Real-time dashboard,
"Main dashboard interface - Overview of risks, KRI indicators and compliance",
View all your data in one place with our modern user interface,
Main Dashboard - Real-time overview,
"Complete interface: Risk matrix, KRI indicators, alerts and compliance",
Why choose our solution?,
Bring together all of your internal control data in a single platform.,
"Automate your collection, analysis and reporting processes.",
Multi-platform access,
Access your platform from any device.,
Bank-grade security,
"Encrypted data, two-factor authentication, GDPR compliance and ISO certifications.",
A solution that grows with your business.,
"""L'intégration de l'IA pour l'analyse des risques nous made it possible to identify des patterns que nous aurions manqués manuellement.""",
Up to 5 users,
Up to 20 users,
Dedicated 24/7 support,
On-site training,
Ready to transform your internal control?,
Join the hundreds of companies already using our platform to optimize their risk management and ensure compliance.,
Full (demo mode),
"123 Avenue des Champs-Élysées, 75008 Paris, France",
Mon-Fri: 9am-6pm,
ISO 27001 • GDPR • SOC 2 Type II • HDS certified hosting,
Default account: admin/admin123,
PREMIUM FEATURES,
A complete solution for your excellence,
"Complete solution for governance, internal control and regulatory compliance.",
AI for your risk analysis and decision-making.,
Self-learning algorithms,
Interactive dashboards and real-time analytics for decision-makers.,
SMART CAPABILITIES,
AI for your success,
Cutting-edge technologies for exceptional governance,
Video Playback Simulation – Embed your demo video here,
0:00,
3:45,
"""La plateforme a transformé notre approche du contrôle interne. 
                            L'interface est d'une élégance rare et les fonctionnalités sont exceptionnelles.""",
"""L'excellence de cette solution se voit dans chaque détail. 
                            Une véritable différence pour notre gouvernance d'entreprise.""",
"""Une solution qui allie parfaitement design élégant et fonctionnalités puissantes. 
                            Le service client est exceptionnel.""",
TOTAL RISKS,
ACTIVE WATCHES,
Actions associated with non-archived active watches,
KRI on Alert,
INTERACTIVE DEMO,
Real-time visualization of risks and KRI indicators,
Explore our interface with interactive videos that show each feature in detail.,
Test the main features without creating an account using our demo environment.,
Access all our tutorial videos and case studies to quickly master the platform.,
LAST EVAL.,
KRI Coverage Rate,
Action plans will be posted here once created from the audits.,
Loading details...,
This feature requires a full backend implementation.,
Full details of the action plan will be posted here.,
FK Corporate Intelligence - Internal Control Platform,
Certified 27001,
"Map your risks by process, department or entity with interactive matrices.",
"Comprehensive audit program with automated planning, execution and monitoring.",
Complete management of regulatory compliance with automatic monitoring.,
AI regulatory monitoring,
Real-time dashboard with predictive alerts and customizable dashboards.,
Real-time alerts,
Advanced AI analytics for risk detection and intelligent recommendations.,
AI Recommendations,
NLP analysis of documents,
Connect to your existing systems with our comprehensive RESTful API.,
Real-time webhooks,
